rank,song_name,last_week,peak_position,wks_on_rank,artist_name,date
40, Free Smoke ,18,18,2, Drake , 4/15/2017
41, Don't Wanna Know ,44,6,25, Maroon 5 Featuring Kendrick Lamar , 4/15/2017
42, Look At Me! ,66,42,8, XXXTENTACION , 4/15/2017
43, Gyalchester ,29,29,2, Drake , 4/15/2017
44, Despacito ,52,44,11, Luis Fonsi Featuring Daddy Yankee , 4/15/2017
45, Slide ,55,34,5, Calvin Harris Featuring Frank Ocean & Migos , 4/15/2017
46, Water Under The Bridge ,53,26,21, Adele , 4/15/2017
47, Party ,56,40,15, Chris Brown Featuring Usher & Gucci Mane , 4/15/2017
48, Blem ,38,38,2, Drake , 4/15/2017
49, XO TOUR Llif3 ,120,16,1, Lil Uzi Vert , 4/15/2017
50, Both ,58,41,15, Gucci Mane Featuring Drake , 4/15/2017
51, In Case You Didn't Know ,67,44,8, Brett Young , 4/15/2017
52, Believer ,57,41,8, Imagine Dragons , 4/15/2017
53, Teenage Fever ,35,35,2, Drake , 4/15/2017
54, Redbone ,71,48,17, Childish Gambino , 4/15/2017
55, Hurricane ,68,55,7, Luke Combs , 4/15/2017
56, Sacrifices ,36,36,2, Drake Featuring 2 Chainz & Young Thug , 4/15/2017
57, Heavy ,79,52,6, Linkin Park Featuring Kiiara , 4/15/2017
58, How Far I'll Go ,63,41,16, Auli'i Cravalho , 4/15/2017
59, Green Light ,65,19,5, Lorde , 4/15/2017
60, Fast ,69,58,10, Luke Bryan , 4/15/2017
61, Speak To A Girl ,120,61,1, Tim McGraw & Faith Hill , 4/15/2017
62, Any Ol' Barstool ,74,54,10, Jason Aldean , 4/15/2017
63, Castle On The Hill ,72,6,12, Ed Sheeran , 4/15/2017
64, Shining ,86,57,7, DJ Khaled Featuring Beyonce & JAY Z , 4/15/2017
65, Swalla ,98,52,2, Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign , 4/15/2017
66, Still Got Time ,120,66,1, Zayn Featuring PARTYNEXTDOOR , 4/15/2017
67, Play That Song ,77,41,18, Train , 4/15/2017
68, Get It Together ,45,45,2, Drake Featuring Jorja Smith & Black Coffee , 4/15/2017
69, Road Less Traveled ,87,67,10, Lauren Alaina , 4/15/2017
70, Deja Vu ,80,7,16, J. Cole , 4/15/2017
71, Moves ,83,38,14, Big Sean , 4/15/2017
72, Hometown Girl ,92,65,5, Josh Turner , 4/15/2017
73, Selfish ,85,37,5, Future Featuring Rihanna , 4/15/2017
74, The Fighter ,78,38,8, Keith Urban Featuring Carrie Underwood , 4/15/2017
75, No Frauds ,84,14,3, Nicki Minaj  Drake & Lil Wayne , 4/15/2017
76, No Long Talk ,40,40,2, Drake Featuring Giggs , 4/15/2017
77, Losin Control ,91,77,5, Russ , 4/15/2017
78, Think A Little Less ,81,54,14, Michael Ray , 4/15/2017
79, KMT ,48,48,2, Drake Featuring Giggs , 4/15/2017
80, Call On Me ,90,70,13, Starley , 4/15/2017
81, The Weekend ,93,69,13, Brantley Gilbert , 4/15/2017
82,4422,50,50,2, Drake Featuring Sampha , 4/15/2017
83, Jorja Interlude ,49,49,2, Drake , 4/15/2017
84, Madiba Riddim ,51,51,2, Drake , 4/15/2017
85, Ice Melts ,62,62,2, Drake Featuring Young Thug , 4/15/2017
86, Do Not Disturb ,60,60,2, Drake , 4/15/2017
87, Black ,120,66,8, Dierks Bentley , 4/15/2017
88, Yeah Boy ,120,76,6, Kelsea Ballerini , 4/15/2017
89, Glow ,54,54,2, Drake Featuring Kanye West , 4/15/2017
90, Draco ,95,46,6, Future , 4/15/2017
91, How Far I'll Go ,100,56,17, Alessia Cara , 4/15/2017
92, Scared To Be Lonely ,120,88,4, Martin Garrix & Dua Lipa , 4/15/2017
93, Galway Girl ,89,53,4, Ed Sheeran , 4/15/2017
94, Everyday ,75,55,7, Ariana Grande Featuring Future , 4/15/2017
95, Good Drank ,120,92,3, 2 Chainz x Gucci Mane x Quavo , 4/15/2017
96, Prblms ,120,95,2, 6LACK , 4/15/2017
97, Can't Have Everything ,82,82,2, Drake , 4/15/2017
98, Party Monster ,99,16,19, The Weeknd , 4/15/2017
99, Nothings Into Somethings ,61,61,2, Drake , 4/15/2017
100, You're Welcome ,120,65,10, Dwayne Johnson , 4/15/2017
